feature,p_value,score,xgb
p1_H3,0.0015920136419677014,10.00784343722227,1.0200294e-05
p1_P2,0.8946713381234453,0.017534939800152177,0.0
p1_SCT,4.236072062397853e-05,16.868615155426326,0.00015665076
p1_PKA,0.05494600308156801,3.689849705612342,2.4859193e-05
p1_PKB,0.0032639314003893283,8.683423043883765,0.00036719008
p2_H3,7.543928015276327e-13,52.3644818165316,7.588275e-05
p2_P2,0.00018464517945949354,14.055776924608976,1.8196793e-05
p2_SCT,1.833796061306002e-13,55.24940555072124,1.21826715e-05
p2_PKA,0.0502919991222961,3.8382701362087226,5.7053927e-05
p2_PKB,0.9401397736791266,0.0056411481005941054,0.0
p3_H3,5.343563192507628e-06,20.870306813675572,4.3134383e-05
p3_P2,0.030884979215240544,4.668709004942694,5.7498844e-05
p3_SCT,5.257981494130394e-10,39.12572678450702,0.00015715396
p3_PKA,0.15690910893089718,2.0059003818950214,0.0
p3_PKB,3.0228170780896042e-06,21.979291228415647,0.00011739512
p4_H3,0.0,2741.3993198380995,5.9830923e-05
p4_P2,9.396491032815243e-130,728.9184299858317,1.328584e-05
p4_SCT,8.986611440395729e-274,2012.23280027069,1.3905609e-06
p4_PKA,5.250860652e-314,2492.588227146018,5.3658685e-05
p4_PKB,9.28338338247e-312,2464.0578725596692,5.3658685e-05
p5_H3,1.1962882206656397e-281,2101.360531409743,9.166221e-05
p5_P2,5.186256074496421e-141,808.9243288361552,1.3272695e-05
p5_SCT,1.4032053811426705e-180,1114.6905212304962,1.6208824e-05
p5_PKA,8.099946050849246e-260,1859.833107880398,1.3156075e-06
p5_PKB,1.818495609051263e-267,1942.5033058891934,1.3156075e-06
p6_H3,1.2111794623537487e-22,99.26774193345878,0.00045647152
p6_P2,1.169668822262296e-27,123.97295223133763,6.66374e-05
p6_SCT,2.2937014670708768e-05,18.04932103742762,2.89206e-05
p6_PKA,2.4823219108251493e-05,17.896966119586363,0.0002744621
p6_PKB,0.9355506231278496,0.006541216484489742,0.0
p7_H3,1.1863542710180947e-63,314.34903774066504,4.1929066e-05
p7_P2,1.7612385874795113e-29,133.05996779075105,7.376074e-05
p7_SCT,1.4274038154103126e-103,553.8813659454472,0.00010423758
p7_PKA,0.0023600451417966056,9.279726350365976,0.0001118265
p7_PKB,0.02018558580277468,5.408030590688168,0.00018774073
p8_H3,0.0030554793102340774,8.804525628858805,2.105858e-05
p8_P2,5.7356922294267316e-05,16.287064147506197,6.098686e-05
p8_SCT,1.7983757449409255e-193,1223.17314734571,4.3515094e-05
p8_PKA,2.011325835886908e-71,358.5405044155461,7.124466e-05
p8_PKB,6.02417541082422e-142,815.7021574950888,2.7871518e-05
